Date,Predicted
2019-03-19,34024.4765625
2019-03-20,33936.9140625
2019-03-21,33846.90625
2019-03-22,33755.19140625
2019-03-25,33659.75390625
2019-03-26,33562.33984375
2019-03-27,33461.73828125
2019-03-28,33360.66015625
2019-03-29,33259.9140625
2019-04-01,33162.71484375
2019-04-02,33069.05859375
2019-04-03,32978.8046875
2019-04-04,32896.7421875
2019-04-05,32831.390625
2019-04-08,32794.20703125
2019-04-09,32788.703125
2019-04-10,32812.546875
2019-04-11,32860.2734375
2019-04-12,32926.80078125
2019-04-15,33007.50390625
2019-04-16,33105.49609375
2019-04-17,33215.95703125
2019-04-18,33334.7265625
2019-04-19,33454.421875
2019-04-22,33569.4609375
2019-04-23,33677.57421875
2019-04-24,33779.08984375
2019-04-25,33873.875
2019-04-26,33960.953125
2019-04-29,34041.48828125
2019-04-30,34115.77734375
2019-05-02,34180.58203125
2019-05-03,34235.875
2019-05-07,34289.390625
2019-05-08,34347.83984375
2019-05-09,34415.37890625
2019-05-10,34493.3671875
2019-05-13,34581.70703125
2019-05-14,34679.24609375
2019-05-15,34784.2578125
2019-05-16,34896.51953125
2019-05-17,35018.0859375
2019-05-20,35144.83203125
2019-05-21,35272.1171875
2019-05-22,35394.27734375
2019-05-23,35506.3359375
2019-05-24,35606.296875
2019-05-27,35691.83203125
2019-05-28,35762.359375
2019-05-29,35825.515625
2019-05-30,35887.51171875
2019-05-31,35951.03125
2019-06-03,36017.71875
2019-06-04,36088.90234375
2019-06-05,36161.86328125
2019-06-07,36234.421875
2019-06-10,36305.2421875
2019-06-11,36373.59375
2019-06-12,36434.47265625
2019-06-13,36486.90234375
2019-06-14,36531.31640625
2019-06-17,36568.3359375
2019-06-18,36598.953125
2019-06-19,36626.703125
2019-06-20,36654.2578125
2019-06-21,36681.76171875
2019-06-24,36707.18359375
2019-06-25,36732.578125
2019-06-26,36762.07421875
2019-06-27,36800.03125
2019-06-28,36846.0546875
2019-07-01,36900.109375
2019-07-02,36961.45703125
2019-07-03,37029.97265625
2019-07-04,37102.02734375
2019-07-05,37172.9609375
2019-07-08,37240.421875
2019-07-09,37303.1953125
2019-07-10,37360.34765625
2019-07-11,37410.7109375
2019-07-12,37453.80078125
2019-07-15,37491.2578125
2019-07-16,37526.7734375
2019-07-17,37560.3671875
2019-07-18,37589.57421875
2019-07-19,37612.0859375
2019-07-22,37628.90234375
2019-07-23,37642.26953125
2019-07-24,37653.9765625
2019-07-25,37664.0
2019-07-26,37672.5
2019-07-29,37680.9765625
2019-07-30,37689.69140625
2019-07-31,37696.765625
